,Polarity,Tweet,Tweet_final_sent_lexicons
237777,1,@ddlovatofans101 oh k good luck with that  lol,MENTION oh okay good luck laugh POSITIVE POSITIVE POSITIVE POSITIVE
36495,1,"Nice sunny day today, taking the sun chairs out of storage and gonna sit in the back garden with my stereo, a good book and glass of wine ",nice sunny today taking sun chairs storage gonna sit back garden stereo good book glass wine POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
444923,1,@serenebabe Well as long as it's used for good things I guess pavlov was alright ,MENTION well long used good things guess pavlov alright POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
202644,0,"How can we enjoy our 2 yr together.Maybe we will become good frens after tat  2%... but i will tell him tomolo morn,we shld both try hard!",enjoy yr togethermaybe WEBSITE good frens tat tell tomolo mornwe shld try hard POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
557303,1,@pinkwaterfairy wonderful ring  looks super cool...i love steampunk goodies ,MENTION wonderful ring laaughks super cool love steampunk goodies POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
69995,0,Said goodbye to Meng Mei tonight... ,said goodbye meng mei tonight NEGATIVE NEGATIVE
672806,1,The Blizzard reward for completing a good 30-mi ride yesterday was also part of #RAGBRAI training ,blizzard reward WEBSITE pleting good mi ride yesterday also part HASHTAG ragbrai training POSITIVE POSITIVE
217043,0,"@wickedground I read a really good one of him about back in the LotR days about him and Miranda Otto, Eowyn? I can't find it... ",MENTION read really good one back lotr days miranda otto eowyn ca not NEG_find NEG_it POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
115467,1,good morninÃ¯Â¿Â½everybody  happy mothers-day to every mom ,good mornin everybody happy mothersday every mom POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
370362,0,good news!! i got a bike!! bad news... my car is dying  good news... i have a bike now in case my car dies!!,good news got bike bad news car dying good news bike case car dies POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
356272,1,Ouch. that concert was painful. But we were the highlight  and that's good for us.,ouch concert painful highlight good us POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
619657,0,doesnt feel good ,not NEG_feel NEG_good NEGATIVE NEGATIVE
208470,1,@Shontelle_Layne I think any color would fit your nails... but I'm sure you know very well what blends well in your outfit..  good Luck!,MENTION think color would fit nails sure know well blends well outfit good luck POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
1775,0,morning everyone!! still feeling poorly!   hope u all have a good day! x,morning everyone still feeling poorly hope good POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
286606,0,"Weather is not good for launching a hotair balloon - fog to the south of the city, rain coming down from the north - back to bed ",weather not NEG_good NEG_for launching hotair balaaughn fog south city WEBSITE ing north back bed NEGATIVE NEGATIVE NEGATIVE NEGATIVE
404504,0,"Need a really good sleep to get rid of this headache I've had all day  looking forward to church tomorrow,hoping the rain stops tho!",need really good sleep rid headache laaughking forward church tomorrowhoping rain stops tho POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
477517,0,@CourtneyChesley Yesterday when I was mowing the grass I ran over some mint. Smelled soooo good! Grass makes me sneezy tho ,MENTION yesterday mowing grass ran mint smelled soo good grass makes sneezy tho POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
124308,0,I am sooo over sneezing. I've got a feeling that the cleaners on the weekend use something I'm allergic to. Mondays are not good for me. ,soo sneezing got feeling cleaners weekend use something allergic mondays not NEG_good NEG_for NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
374296,1,@Trixy98 sure did  just hope the good weather stays with us ;D,MENTION sure hope good weather stays us EMOJI POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
546852,1,Found a good song on #spotify : http://bit.ly/p8xts ,found good song HASHTAG spotify URL POSITIVE POSITIVE POSITIVE POSITIVE
551361,0,goodnght tweeties who don't pay attention to anything i write! byeeeeeeeeee ,goodnght tweeties not NEG_pay NEG_attention anything write byee NEGATIVE NEGATIVE
582653,1,goodnight goonight ,goodnight goonight POSITIVE POSITIVE
272816,1,"@madsxy1 thnx  @ashleylately11 its been good, urs?",MENTION thnx MENTION good urs POSITIVE POSITIVE POSITIVE POSITIVE
164446,0,"@MrsHoskins ooh I've got that DVD, never got around to watching it   Is it any good?",MENTION got dvd never got around watching good POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
790295,1,"@taeboqueen66 Needed a time-out but I'm back! Thanks for the love- good to be missed, girl! xo ",MENTION needed timeout back thanks love good missed girl xo POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
83367,1,@sweynh @robinmatthewfry she still looks good actually ,MENTION MENTION still laaughks good actually POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
370456,1,last night was really good ,last night really good POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
441336,1,@feltbeats Congratzz your site deserves it keep up the good work and sorry about the post i did Misha i didnt know  XX,MENTION congratzz site deserves keep good work sorry post misha not NEG_know POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
323491,1,"@Marybozigian Ah but don't forget about my good friend, Karma.  I'll send her their way right now!",MENTION ah not NEG_forget NEG_about good friend karma send way right POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
723305,0,"@smjkxsnoopy: that sucks  good seeing ya last night tho for once, jashik. You have fun? I got sooo shwasted-faced ",MENTION sucks good seeing last night tho jashik fun got soo shwastedfaced POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
395587,1,2 and 1/2 more hours. thank goodness! ,hours thank goodness POSITIVE POSITIVE
684169,0,Wings bar.... No good n still hungry...  http://schmap.me/qeunks,wings bar not NEG_good NEG_and still hungry URL POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
410920,1," had a good weekend, looking forward to a great week x",good weekend laaughking forward great week POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
797852,0,@2kutekreations That's not good! Need to get something in there for *YOU* so that you can get off that wheel!!! ,MENTION not NEG_good NEG_need something wheel NEGATIVE NEGATIVE
763107,0,"tru, you better be good! looking forward to a long and drunken night in york! bring on the Vodkat!!!! ",tru better good laaughking forward long drunken night york bring vodkat POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
515277,0,I can't decide if I feel sssick or extremely tired. not good anyhow. &amp; I'm due to take a hayfever tablet but I don't wanna move      :'),ca not NEG_decide NEG_if feel ick extremely tired not good anyhow due take hayfever tablet not wanna move POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
761850,1,it feels so good to be back at home for a week!  Going to Dave Matthews tomorrow night w/ Gabe ,feels good back home week going dave matthews tomorrow night gabe POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
733484,1,@lareinasantiago yeees!  haha. good luck to us!!!  may we have adam lambert in our dreams. hahaha! ,MENTION yees laaugh good luck us may adam lambert dreams laaugh POSITIVE POSITIVE POSITIVE POSITIVE
388914,1,"@lennytoups Honestly, I don't think you could have paid me a bigger compliment!  You're all good! ",MENTION honestly not NEG_think NEG_you could paid WEBSITE pliment good POSITIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE
651440,1,@chelseaheather yeah goodbye niagara falls wedding. OksLang I was lucky enough to witness loads of sceneries in sf  any police updates?ÃÂ¼,MENTION yeah goodbye niagara falls wedding okslang lucky enough witness loads sceneries sf police updates POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
655937,1,mmmm cold rock!!  double choc ice cream with marshmellows and tim tams!!  so good!,cold rock double choc ice cream marshmellows tim tams good POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
532350,1,good morning everyone.. ,good morning everyone POSITIVE POSITIVE POSITIVE POSITIVE
606440,0,"I think I got a flu. Aw shit, not a good way to start a holiday ",think got flu aw shit not NEG_good NEG_way start holiday NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
92238,0,"thinks life really isn't fair, especially when bad things happen to good people ",thinks life really not NEG_fair NEG_especially bad things happen good people POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
456462,1,@i_like_puppies  good thing you're very loved and not expected to be perfect ,MENTION good thing loved not NEG_expected NEG_to perfect POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE
251909,1,"@yo_sushigirl Yay! O yo, she of sushi-like, thou hast shone great feats of memory and good taste in the recall of this small fact ",MENTION yay yo sushilike thou hast shone great feats memory good taste recall small fact POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
745787,1,@nickjonas good luck in the show nick ,MENTION good luck show nick POSITIVE POSITIVE
743191,1,why don't more people use kryptonite bullets on clark? heh. i think i'd make a good superman badguy ,not NEG_more NEG_people use kryptonite bullets clark heh think would make good superman badguy POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
156019,1,@mustntgrumble Good morning !! or good afternoon  relaxing time for you .,MENTION good morning good afternoon relaxing time POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
178677,1,oh and hey simo....good to see you twittering. thanks for the heads up!jks love you my class bud ,oh hey simo good see twittering thanks heads upjks love class bud POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
692879,0,i dont feel gooddddd ,not NEG_feel NEG_goodd NEGATIVE NEGATIVE
776680,0,@Elightenedwords Outlook not so good ,MENTION outlaaughk not NEG_so NEG_good NEGATIVE NEGATIVE
616499,1,@Laney_Jane  on the good side i got a reply from @jessicaveronica ,MENTION good side got reply MENTION POSITIVE NEGATIVE POSITIVE NEGATIVE
480762,0,@DebbieFletcher heyya how are you ? i had to walk home in the pouring rain today  not good its gone nice now tho.. weird weather :S LOL x,MENTION heyya walk home pouring rain today not NEG_good NEG_its gone nice tho weird weather laugh POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
596415,0,"@Firefly2020 It's good that you love your work, nothing worse than having a job you hate, makes life miserable!! ",MENTION good love work nothing worse job hate makes life miserable POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
538238,0,"@misschasse bawww, I love Princess Bride! such a good film. I would do this if I wasn't studying.  stupid exams!",MENTION baww love princess bride good film would not NEG_studying NEG_stupid exams POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE NEGATIVE
101513,0,Work seems so long when you you've had to many drinks the night before  seemed like a good idea at the time though!,work seems long many drinks night seemed like good idea time though POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
430793,0,@meranieann oh ok.  have a good day of worship!,MENTION oh ok good worship POSITIVE POSITIVE
111079,1,"Thanks to good friends for coming out, hanging out and being our ears out there, you know who you are ",thanks good friends WEBSITE ing hanging ears know POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
400822,1,@toolgasm Yay! It's going to be a good one. We have a guest from Melbourne coming ,MENTION yay going good one guest WEBSITE ing POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE
43439,1,"got a haircut, bought an awesome dress, had a great birthday dinner...today was good ",got haircut bought awesome dress great birthday dinner today good POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE POSITIVE NEGATIVE
134374,0,Catching up on my emails and blogging. I'm so sorry to all my readers and followers.  You'll have new goodies to make up for my absence.,catching emails blogging sorry readers followers new goodies make absence POSITIVE NEGATIVE POSITIVE NEGATIVE
340870,0,@WhatTheProsDo I know it's crap right now  but the good news is.. a tweetiebird told me ProMakeupstore is about to install a pro discount,MENTION know crap right good news tweetiebird told promakeupstore install pro discount POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE
785237,0,"@salandpepper Congestion, headache, runny nose and sneezing - not a good look for me  My family is currently boosting the tissue industry",MENTION congestion headache runny nose sneezing not NEG_good NEG_laaughk family currently boosting tissue industry NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
767645,1,@chuckchik91 lol good for u i been out since last thursday ,MENTION laugh good since last thursday POSITIVE POSITIVE NEGATIVE NEGATIVE POSITIVE POSITIVE NEGATIVE NEGATIVE
712562,1,@CarrieChute if @tommcfly likes it then all's good! ,MENTION MENTION likes good POSITIVE POSITIVE POSITIVE POSITIVE
475212,0,@BBCWeatherNorth Disappointing so far in Coanwood. One small flash this am. 3 good rumbles of thunder. Camera poised - no drama ,MENTION disappointing far coanwood one small flash good rumbles thunder camera poised not NEG_drama POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE POSITIVE NEGATIVE NEGATIVE NEGATIVE NEGATIVE
487907,1,Waking up... working on... good day to all of u ,waking working good POSITIVE NEGATIVE POSITIVE NEGATIVE
